,date,humidity
0,2016-1-1,69.4
1,2016-2-1,43.9
2,2016-3-1,44.0
3,2016-4-1,57.3
4,2016-5-1,61.5
5,2016-6-1,57.4
6,2016-7-1,84.6
7,2016-8-1,73.9
8,2016-9-1,64.3
9,2016-10-1,86.6
10,2016-11-1,50.9
11,2016-12-1,59.1
12,2016-1-2,76.3
13,2016-2-2,47.5
14,2016-3-2,49.6
15,2016-4-2,68.8
16,2016-5-2,74.8
17,2016-6-2,56.0
18,2016-7-2,84.6
19,2016-8-2,78.9
20,2016-9-2,89.8
21,2016-10-2,86.4
22,2016-11-2,56.3
23,2016-12-2,60.9
24,2016-1-3,77.4
25,2016-2-3,57.1
26,2016-3-3,61.9
27,2016-4-3,86.6
28,2016-5-3,66.6
29,2016-6-3,54.5
30,2016-7-3,89.8
31,2016-8-3,78.3
32,2016-9-3,88.4
33,2016-10-3,83.6
34,2016-11-3,73.1
35,2016-12-3,63.1
36,2016-1-4,64.8
37,2016-2-4,53.4
38,2016-3-4,88.4
39,2016-4-4,81.9
40,2016-5-4,32.4
41,2016-6-4,80.8
42,2016-7-4,88.3
43,2016-8-4,73.6
44,2016-9-4,86.0
45,2016-10-4,72.1
46,2016-11-4,69.0
47,2016-12-4,75.3
48,2016-1-5,70.6
49,2016-2-5,44.4
50,2016-3-5,87.6
51,2016-4-5,66.8
52,2016-5-5,47.8
53,2016-6-5,60.9
54,2016-7-5,80.9
55,2016-8-5,69.8
56,2016-9-5,82.9
57,2016-10-5,81.4
58,2016-11-5,77.9
59,2016-12-5,76.1
60,2016-1-6,52.8
61,2016-2-6,48.3
62,2016-3-6,81.5
63,2016-4-6,64.9
64,2016-5-6,85.1
65,2016-6-6,80.3
66,2016-7-6,78.6
67,2016-8-6,67.5
68,2016-9-6,81.4
69,2016-10-6,68.5
70,2016-11-6,75.6
71,2016-12-6,40.0
72,2016-1-7,57.5
73,2016-2-7,50.9
74,2016-3-7,67.8
75,2016-4-7,82.5
76,2016-5-7,50.4
77,2016-6-7,76.9
78,2016-7-7,78.1
79,2016-8-7,69.8
80,2016-9-7,79.5
81,2016-10-7,79.9
82,2016-11-7,71.9
83,2016-12-7,68.4
84,2016-1-8,57.8
85,2016-2-8,47.6
86,2016-3-8,65.1
