,date,humidity
0,2016-1-1,73.0
1,2016-2-1,36.0
2,2016-3-1,47.3
3,2016-4-1,26.0
4,2016-5-1,40.5
5,2016-6-1,45.8
6,2016-7-1,86.5
7,2016-8-1,72.0
8,2016-9-1,71.3
9,2016-10-1,69.0
10,2016-11-1,43.6
11,2016-12-1,47.6
12,2016-1-2,76.9
13,2016-2-2,41.8
14,2016-3-2,67.9
15,2016-4-2,40.8
16,2016-5-2,64.5
17,2016-6-2,38.3
18,2016-7-2,81.4
19,2016-8-2,72.5
20,2016-9-2,68.5
21,2016-10-2,84.1
22,2016-11-2,53.1
23,2016-12-2,48.4
24,2016-1-3,80.6
25,2016-2-3,49.6
26,2016-3-3,65.1
27,2016-4-3,75.1
28,2016-5-3,86.1
29,2016-6-3,48.1
30,2016-7-3,70.4
31,2016-8-3,65.4
32,2016-9-3,73.8
33,2016-10-3,73.3
34,2016-11-3,62.8
35,2016-12-3,58.8
36,2016-1-4,54.4
37,2016-2-4,50.1
38,2016-3-4,55.3
39,2016-4-4,42.6
40,2016-5-4,46.6
41,2016-6-4,51.8
42,2016-7-4,85.1
43,2016-8-4,59.6
44,2016-9-4,71.3
45,2016-10-4,58.9
46,2016-11-4,67.0
47,2016-12-4,60.1
48,2016-1-5,39.4
49,2016-2-5,39.4
50,2016-3-5,91.3
51,2016-4-5,45.1
52,2016-5-5,50.8
53,2016-6-5,47.3
54,2016-7-5,93.6
55,2016-8-5,60.1
56,2016-9-5,66.1
57,2016-10-5,61.9
58,2016-11-5,77.4
59,2016-12-5,69.1
60,2016-1-6,54.3
61,2016-2-6,38.6
62,2016-3-6,51.0
63,2016-4-6,44.3
64,2016-5-6,89.3
65,2016-6-6,49.1
66,2016-7-6,74.0
67,2016-8-6,64.8
68,2016-9-6,69.0
69,2016-10-6,59.3
70,2016-11-6,59.4
71,2016-12-6,38.5
72,2016-1-7,51.8
73,2016-2-7,46.5
74,2016-3-7,36.9
75,2016-4-7,69.5
76,2016-5-7,60.3
77,2016-6-7,69.5
78,2016-7-7,71.6
79,2016-8-7,56.0
80,2016-9-7,69.8
81,2016-10-7,67.8
82,2016-11-7,71.3
83,2016-12-7,58.3
84,2016-1-8,49.8
85,2016-2-8,62.1
86,2016-3-8,40.4
87,2016-4-8,76.1
88,2016-5-8,44.8
89,2016-6-8,65.9
90,2016-7-8,66.5
91,2016-8-8,63.1
92,2016-9-8,76.4
93,2016-10-8,66.4
94,2016-11-8,58.0
95,2016-12-8,70.0
96,2016-1-9,57.1
97,2016-2-9,52.5
98,2016-3-9,37.5
99,2016-4-9,83.9
100,2016-5-9,43.0
101,2016-6-9,59.5
102,2016-7-9,64.8
103,2016-8-9,68.3
104,2016-9-9,71.1
105,2016-10-9,46.3
106,2016-11-9,41.1
107,2016-12-9,65.8
108,2016-1-10,42.3
109,2016-2-10,38.5
110,2016-3-10,37.8
111,2016-4-10,71.3
112,2016-5-10,82.4
113,2016-6-10,60.9
114,2016-7-10,64.4
115,2016-8-10,66.3
116,2016-9-10,65.4
117,2016-10-10,43.3
118,2016-11-10,55.5
119,2016-12-10,47.6
120,2016-1-11,38.3
121,2016-2-11,29.3
122,2016-3-11,43.8
123,2016-4-11,43.8
124,2016-5-11,60.9
125,2016-6-11,74.3
126,2016-7-11,67.4
127,2016-8-11,64.1
128,2016-9-11,66.3
129,2016-10-11,62.4
130,2016-11-11,63.3
131,2016-12-11,42.6
132,2016-1-12,46.0
133,2016-2-12,95.3
134,2016-3-12,55.6
135,2016-4-12,42.6
136,2016-5-12,62.4
137,2016-6-12,79.4
138,2016-7-12,65.5
139,2016-8-12,68.3
140,2016-9-12,68.9
141,2016-10-12,57.0
142,2016-11-12,62.1
143,2016-12-12,37.9
144,2016-1-13,63.0
145,2016-2-13,95.0
146,2016-3-13,68.1
147,2016-4-13,67.5
148,2016-5-13,57.0
149,2016-6-13,70.5
150,2016-7-13,69.0
151,2016-8-13,67.9
152,2016-9-13,62.5
153,2016-10-13,44.1
154,2016-11-13,74.8
155,2016-12-13,53.6
156,2016-1-14,52.1
157,2016-2-14,73.1
158,2016-3-14,57.0
159,2016-4-14,75.9
160,2016-5-14,47.1
161,2016-6-14,62.5
162,2016-7-14,66.9
163,2016-8-14,74.0
164,2016-9-14,66.1
165,2016-10-14,61.8
166,2016-11-14,78.5
167,2016-12-14,68.1
168,2016-1-15,52.3
169,2016-2-15,48.4
170,2016-3-15,43.4
171,2016-4-15,46.4
172,2016-5-15,73.9
173,2016-6-15,81.8
174,2016-7-15,60.0
175,2016-8-15,65.5
176,2016-9-15,68.1
177,2016-10-15,60.6
178,2016-11-15,44.3
179,2016-12-15,41.8
180,2016-1-16,68.0
181,2016-2-16,65.6
182,2016-3-16,45.1
183,2016-4-16,58.9
184,2016-5-16,57.0
185,2016-6-16,73.5
186,2016-7-16,92.8
187,2016-8-16,64.9
188,2016-9-16,64.9
189,2016-10-16,74.1
190,2016-11-16,44.3
191,2016-12-16,40.3
192,2016-1-17,64.0
193,2016-2-17,53.9
194,2016-3-17,40.9
195,2016-4-17,66.8
196,2016-5-17,48.8
197,2016-6-17,63.1
198,2016-7-17,82.9
199,2016-8-17,60.4
200,2016-9-17,64.8
201,2016-10-17,76.1
202,2016-11-17,56.4
203,2016-12-17,60.1
204,2016-1-18,59.8
