,date,avg,max,min,rain
0,2016-1-1,-0.1,8.7,-6.7,0
1,2016-1-2,1.8,10.8,-3.6,0
2,2016-1-3,4.0,14.5,-2.2,0
3,2016-1-4,4.8,15.0,-0.3,0
4,2016-1-5,0.5,4.9,-2.6,0.0
5,2016-1-6,1.8,8.8,-5.1,0
6,2016-1-7,1.0,7.5,-3.6,0
7,2016-1-8,0.0,7.0,-4.9,0
8,2016-1-9,-0.3,8.0,-6.9,0
9,2016-1-10,0.0,9.1,-6.6,0
10,2016-1-11,1.2,8.6,-4.5,0
11,2016-1-12,-0.1,7.2,-6.9,0
12,2016-1-13,-1.7,5.3,-7.7,0
13,2016-1-14,-1.1,6.4,-5.9,0
14,2016-1-15,-0.8,8.6,-7.6,0
15,2016-1-16,1.1,8.6,-3.9,0
16,2016-1-17,2.8,7.6,-1.9,1.4
17,2016-1-18,0.7,5.0,-4.0,0
18,2016-1-19,-3.0,-0.2,-5.8,0
19,2016-1-20,-3.8,1.6,-8.2,0
20,2016-1-21,-2.1,2.9,-6.6,0
21,2016-1-22,-0.9,5.6,-7.9,0
22,2016-1-23,-3.8,-0.2,-8.9,0
23,2016-1-24,-8.3,-5.4,-10.2,0.5
24,2016-1-25,-5.3,2.7,-12.8,0
25,2016-1-26,-3.2,5.7,-10.9,0
26,2016-1-27,-1.1,8.4,-8.1,0
27,2016-1-28,0.9,4.0,-4.6,19.4
28,2016-1-29,3.1,3.8,1.7,14.1
29,2016-1-30,3.7,7.5,-1.6,0
30,2016-1-31,1.4,6.7,-3.4,0
31,2016-2-1,-0.6,5.0,-4.1,0
32,2016-2-2,-2.3,6.2,-9.1,0
33,2016-2-3,-1.7,7.7,-9.3,0
34,2016-2-4,-0.2,7.7,-7.7,0
35,2016-2-5,1.3,9.6,-6.5,0
36,2016-2-6,-0.3,5.9,-6.7,0
37,2016-2-7,-1.6,7.1,-8.8,0
38,2016-2-8,1.9,8.5,-8.6,0
39,2016-2-9,4.9,9.3,-2.0,0
40,2016-2-10,1.7,12.0,-6.2,0
41,2016-2-11,6.1,14.4,-3.0,0
42,2016-2-12,9.2,14.4,5.8,62.8
43,2016-2-13,12.0,15.3,9.3,9.9
44,2016-2-14,4.1,14.6,-1.8,0
45,2016-2-15,-1.5,2.3,-4.4,0
46,2016-2-16,0.2,5.4,-6.3,0
47,2016-2-17,1.7,8.1,-3.4,0
48,2016-2-18,2.3,10.3,-6.1,0
49,2016-2-19,5.0,13.7,-2.7,0
50,2016-2-20,6.0,12.7,1.8,0
51,2016-2-21,2.1,8.2,-3.6,0
52,2016-2-22,3.4,7.0,-2.0,0
53,2016-2-23,5.5,11.9,-0.1,0
54,2016-2-24,1.4,7.1,-4.0,0
55,2016-2-25,0.8,7.6,-4.2,0
56,2016-2-26,1.8,8.3,-5.9,0
57,2016-2-27,7.9,14.2,0.8,0.7
58,2016-2-28,6.1,13.6,-0.7,3.0
59,2016-2-29,-0.2,3.5,-4.6,0
60,2016-3-1,-0.8,6.8,-7.7,0
61,2016-3-2,3.8,11.8,-6.8,0
62,2016-3-3,6.7,16.0,-3.4,0.0
63,2016-3-4,8.2,9.7,6.6,36.1
64,2016-3-5,12.1,15.7,8.5,43.1
65,2016-3-6,13.7,19.5,8.3,1.3
66,2016-3-7,11.0,17.7,6.8,0
67,2016-3-8,8.0,11.3,3.4,3.3
68,2016-3-9,5.2,12.6,1.2,6.8
69,2016-3-10,3.0,8.5,-1.3,0
70,2016-3-11,2.0,8.4,-3.3,0
71,2016-3-12,2.7,10.1,-5.4,0
72,2016-3-13,4.7,8.8,1.0,0
73,2016-3-14,5.5,13.9,-1.7,0
74,2016-3-15,5.9,14.5,-3.3,0
75,2016-3-16,8.4,16.7,2.8,0
76,2016-3-17,9.3,18.7,-1.1,0
77,2016-3-18,9.8,12.1,7.9,27.6
78,2016-3-19,11.5,18.9,6.1,0
79,2016-3-20,9.5,13.6,6.4,0
80,2016-3-21,9.3,16.6,3.5,0
81,2016-3-22,9.6,18.4,2.6,0
82,2016-3-23,10.5,17.2,3.3,0
83,2016-3-24,8.3,12.6,5.6,0.0
84,2016-3-25,6.8,11.5,4.1,2.8
85,2016-3-26,6.6,13.4,0.1,0
86,2016-3-27,7.4,15.4,-0.4,0
87,2016-3-28,8.4,17.5,-1.5,0
88,2016-3-29,10.7,15.9,1.5,0
89,2016-3-30,13.8,21.6,6.8,0
90,2016-3-31,12.0,20.9,4.6,0
91,2016-4-1,13.6,24.3,4.1,0
92,2016-4-2,13.1,20.1,5.1,0
93,2016-4-3,12.2,13.5,10.8,37.8
94,2016-4-4,11.2,13.8,9.8,2.6
95,2016-4-5,12.4,20.2,7.2,0
96,2016-4-6,11.8,20.5,5.2,26.1
97,2016-4-7,12.2,17.6,8.6,28.7
98,2016-4-8,15.0,23.0,9.1,0
99,2016-4-9,15.0,24.0,6.4,0
100,2016-4-10,14.4,22.9,7.1,0
101,2016-4-11,10.8,12.6,9.2,0
102,2016-4-12,11.5,18.6,4.3,3.1
103,2016-4-13,13.6,15.4,10.6,37.7
104,2016-4-14,17.1,25.8,11.3,0
105,2016-4-15,12.9,21.2,5.3,0
106,2016-4-16,13.2,18.8,5.4,77.5
107,2016-4-17,15.5,19.8,10.5,3.9
108,2016-4-18,14.4,20.7,8.6,0
109,2016-4-19,13.5,21.0,6.2,0
110,2016-4-20,13.5,21.0,5.5,0
111,2016-4-21,13.8,17.3,11.1,33.2
112,2016-4-22,17.0,24.5,12.5,0
113,2016-4-23,15.4,20.7,11.9,0
114,2016-4-24,14.6,23.8,6.9,0
115,2016-4-25,15.4,26.3,6.9,0
116,2016-4-26,16.3,25.6,5.7,1.2
117,2016-4-27,11.4,14.7,10.7,42.9
118,2016-4-28,14.1,19.5,10.5,5.0
119,2016-4-29,15.0,20.6,11.5,0
120,2016-4-30,16.6,23.1,9.0,0
121,2016-5-1,16.5,23.9,8.0,0
122,2016-5-2,17.8,23.5,10.2,0.0
123,2016-5-3,16.6,20.8,14.2,80.6
124,2016-5-4,17.8,24.9,10.5,0
125,2016-5-5,16.0,24.2,6.1,0
126,2016-5-6,17.6,21.0,14.9,3.9
127,2016-5-7,18.3,25.2,10.0,0
128,2016-5-8,16.7,23.4,7.9,0
129,2016-5-9,17.6,22.0,13.8,0
130,2016-5-10,14.4,17.3,12.2,31.3
131,2016-5-11,15.8,21.7,12.2,0.1
132,2016-5-12,17.6,24.1,11.2,0
133,2016-5-13,16.2,23.3,10.9,0
134,2016-5-14,16.8,24.5,9.8,0
135,2016-5-15,17.9,22.9,10.6,2.9
136,2016-5-16,15.1,22.6,8.0,6.0
137,2016-5-17,16.4,27.8,4.7,0
138,2016-5-18,19.3,31.0,8.3,0
139,2016-5-19,19.0,29.2,10.2,0
140,2016-5-20,19.3,28.7,10.0,0
141,2016-5-21,19.0,28.0,10.7,0
142,2016-5-22,19.5,29.1,10.2,0
143,2016-5-23,19.8,27.6,10.0,0
144,2016-5-24,18.7,20.4,15.4,25.6
145,2016-5-25,19.3,27.0,12.6,0
146,2016-5-26,20.6,27.7,12.8,0.0
147,2016-5-27,22.5,29.2,17.8,0.0
148,2016-5-28,20.6,27.0,16.1,0.0
149,2016-5-29,19.9,26.0,15.3,3.5
150,2016-5-30,21.5,31.1,12.7,0
151,2016-5-31,21.2,29.8,12.5,0
152,2016-6-1,20.4,26.3,15.1,0
153,2016-6-2,18.9,27.3,10.9,0
154,2016-6-3,20.7,28.3,12.1,0
155,2016-6-4,17.4,22.2,15.4,11.1
156,2016-6-5,21.3,27.3,15.1,0
157,2016-6-6,18.3,19.7,17.4,1.0
158,2016-6-7,21.1,26.7,17.4,0.0
159,2016-6-8,21.2,24.6,17.9,0
160,2016-6-9,21.7,28.2,18.1,0
161,2016-6-10,22.5,28.6,17.8,0
162,2016-6-11,22.7,28.2,18.0,0
163,2016-6-12,22.6,25.1,20.0,0.1
164,2016-6-13,23.2,28.5,20.5,0
165,2016-6-14,23.0,28.0,20.1,0
166,2016-6-15,21.9,24.2,18.5,0.0
167,2016-6-16,23.8,28.7,17.2,0.0
168,2016-6-17,22.4,30.6,14.5,0
