,date,avg,max,min,rain
0,2016-1-1,1.2,4.0,-3.3,0
1,2016-1-2,5.7,9.5,1.0,0
2,2016-1-3,6.5,9.4,5.1,0
3,2016-1-4,2.0,5.3,-2.5,0
4,2016-1-5,-2.7,1.5,-4.8,0
5,2016-1-6,-1.7,1.7,-4.9,0
6,2016-1-7,-3.4,1.4,-5.9,0
7,2016-1-8,-3.3,1.0,-6.9,0
8,2016-1-9,-2.1,2.4,-6.2,0
9,2016-1-10,0.3,3.8,-2.7,0
10,2016-1-11,-3.8,0.9,-6.5,0
11,2016-1-12,-5.2,0.7,-9.1,0
12,2016-1-13,-4.5,0.1,-8.2,0.4
13,2016-1-14,-3.4,1.3,-8.4,0.0
14,2016-1-15,-0.4,5.3,-4.3,0
15,2016-1-16,-0.2,2.8,-2.1,0.1
16,2016-1-17,1.7,5.4,-0.7,0
17,2016-1-18,-6.3,0.4,-12.3,0.2
18,2016-1-19,-12.8,-8.9,-15.1,0
19,2016-1-20,-10.5,-5.2,-14.5,0
20,2016-1-21,-7.1,-2.3,-10.2,0
21,2016-1-22,-7.6,-3.8,-11.1,0
22,2016-1-23,-11.5,-8.3,-16.0,0.0
23,2016-1-24,-14.4,-10.5,-18.0,0
24,2016-1-25,-9.4,-3.4,-14.3,0
25,2016-1-26,-3.3,1.7,-8.5,0.3
26,2016-1-27,-1.1,4.3,-4.7,0
27,2016-1-28,-0.5,3.5,-5.6,0
28,2016-1-29,1.9,5.4,-1.4,0
29,2016-1-30,0.6,5.2,-2.5,0
30,2016-1-31,-3.9,0.3,-6.5,0
31,2016-2-1,-6.0,-1.0,-9.1,0
32,2016-2-2,-5.3,0.9,-10.0,0
33,2016-2-3,-2.4,4.0,-8.3,0
34,2016-2-4,-0.7,3.9,-4.0,0
35,2016-2-5,-2.2,3.4,-6.8,0
36,2016-2-6,-3.1,2.0,-6.2,0
37,2016-2-7,-2.9,3.5,-8.3,0
38,2016-2-8,1.3,5.5,-4.3,0
39,2016-2-9,0.3,5.5,-3.9,0
40,2016-2-10,2.7,10.7,-4.3,0
41,2016-2-11,8.1,13.5,1.6,0.1
42,2016-2-12,8.4,10.0,6.8,18.0
43,2016-2-13,11.0,14.4,5.8,21.0
44,2016-2-14,-2.6,5.8,-6.8,2.5
45,2016-2-15,-5.8,-2.3,-10.0,0.0
46,2016-2-16,-2.7,1.1,-6.7,0.8
47,2016-2-17,0.0,5.4,-5.2,0
48,2016-2-18,3.5,7.8,-1.4,0
49,2016-2-19,2.3,4.4,0.1,0
50,2016-2-20,1.3,6.3,-2.5,0
51,2016-2-21,-0.6,4.4,-4.2,0
52,2016-2-22,1.1,4.2,-2.2,0.0
53,2016-2-23,0.7,4.5,-4.5,0.9
54,2016-2-24,-3.0,2.2,-6.8,0
55,2016-2-25,-0.2,5.7,-5.8,0
56,2016-2-26,2.2,7.5,-3.2,0.0
57,2016-2-27,3.3,8.1,0.5,0.2
58,2016-2-28,0.7,6.9,-2.6,4.1
59,2016-2-29,-3.8,-1.1,-5.9,0.0
60,2016-3-1,-2.7,2.1,-7.5,0
61,2016-3-2,3.1,8.1,-2.2,0
62,2016-3-3,8.1,13.9,4.4,0
63,2016-3-4,13.2,20.3,6.4,0.1
64,2016-3-5,11.3,13.5,9.1,40.0
65,2016-3-6,7.9,12.9,4.3,0.2
66,2016-3-7,8.1,12.2,4.8,0.0
67,2016-3-8,2.7,7.0,-1.4,0
68,2016-3-9,0.3,5.3,-2.7,0
69,2016-3-10,-1.1,3.1,-4.3,0
70,2016-3-11,-0.5,4.6,-5.5,0
71,2016-3-12,2.0,6.4,-3.3,0
72,2016-3-13,3.7,6.5,1.9,0.1
73,2016-3-14,4.7,9.6,1.3,0
74,2016-3-15,5.2,12.4,-1.0,0
75,2016-3-16,7.5,13.8,2.7,0
76,2016-3-17,9.3,14.7,2.0,0
77,2016-3-18,13.4,20.1,8.8,0
78,2016-3-19,11.4,18.1,6.6,0
79,2016-3-20,10.6,17.5,4.9,0
80,2016-3-21,9.9,16.1,5.5,0
81,2016-3-22,8.0,13.8,3.5,0
82,2016-3-23,8.2,13.8,3.8,0
83,2016-3-24,7.2,12.7,1.6,0
84,2016-3-25,7.1,12.6,2.1,0
85,2016-3-26,6.5,12.6,2.1,0
86,2016-3-27,7.2,13.1,2.2,0
87,2016-3-28,9.8,17.4,2.3,0
88,2016-3-29,11.3,17.1,7.6,0.1
89,2016-3-30,11.5,18.3,7.0,0
90,2016-3-31,13.5,21.4,6.0,0
91,2016-4-1,15.3,23.8,7.3,0
92,2016-4-2,15.0,21.7,9.6,0
93,2016-4-3,10.7,12.7,8.2,2.0
94,2016-4-4,12.3,19.8,5.1,0
95,2016-4-5,11.4,18.1,5.9,0
96,2016-4-6,14.4,22.9,6.6,3.0
97,2016-4-7,14.1,20.6,10.5,7.5
98,2016-4-8,11.1,18.7,7.8,0
99,2016-4-9,10.7,14.1,7.4,0
100,2016-4-10,13.4,20.7,9.3,0
101,2016-4-11,12.5,19.4,5.7,0
102,2016-4-12,14.1,19.4,10.3,0
103,2016-4-13,15.6,21.4,11.4,1.0
104,2016-4-14,12.4,18.6,9.3,0
105,2016-4-15,15.0,23.1,8.1,0
106,2016-4-16,14.9,20.7,9.8,23.5
107,2016-4-17,10.8,14.5,8.3,20.5
108,2016-4-18,11.2,18.6,7.1,1.5
109,2016-4-19,12.0,19.2,6.5,0
110,2016-4-20,14.3,20.9,10.1,0.5
111,2016-4-21,13.5,16.9,10.3,17.0
112,2016-4-22,13.5,18.6,10.1,0.0
113,2016-4-23,13.5,19.8,7.8,0
114,2016-4-24,15.5,23.7,8.1,0
115,2016-4-25,17.2,25.3,10.2,0
116,2016-4-26,21.1,29.6,12.1,0
117,2016-4-27,17.2,20.7,14.5,0
118,2016-4-28,17.2,23.0,12.4,0
119,2016-4-29,16.2,22.6,10.9,0.3
120,2016-4-30,15.9,20.4,10.8,0
121,2016-5-1,18.8,26.0,12.2,0
122,2016-5-2,21.1,28.4,16.5,16.5
123,2016-5-3,12.9,17.6,8.9,27.0
124,2016-5-4,15.7,20.6,10.2,0
125,2016-5-5,18.9,26.9,10.2,7.5
126,2016-5-6,16.3,18.6,13.0,9.5
127,2016-5-7,16.5,22.6,10.7,0
128,2016-5-8,19.4,26.8,11.6,0
129,2016-5-9,20.2,25.4,16.3,0.0
130,2016-5-10,14.5,18.1,12.5,13.5
131,2016-5-11,16.4,23.5,10.4,0
132,2016-5-12,17.8,24.0,12.1,0
133,2016-5-13,18.6,25.4,12.7,0.5
134,2016-5-14,20.2,26.9,15.1,0
135,2016-5-15,17.4,24.2,12.3,45.0
136,2016-5-16,15.9,21.9,10.8,2.5
137,2016-5-17,19.3,26.6,10.9,0
138,2016-5-18,22.3,29.5,13.5,0
139,2016-5-19,24.3,31.9,16.3,0
140,2016-5-20,24.0,31.6,16.8,0
141,2016-5-21,24.1,30.4,17.8,0
142,2016-5-22,24.7,31.7,17.6,0
143,2016-5-23,23.3,29.4,18.3,0
144,2016-5-24,16.8,21.8,15.4,38.5
145,2016-5-25,19.7,24.4,15.3,0
146,2016-5-26,19.4,22.9,17.5,0.0
147,2016-5-27,20.9,27.1,14.8,0
148,2016-5-28,21.7,28.0,17.2,0
149,2016-5-29,21.5,27.6,17.2,0
150,2016-5-30,22.1,28.9,16.9,0
151,2016-5-31,21.6,27.6,17.4,0
152,2016-6-1,23.3,29.9,17.1,0
153,2016-6-2,23.2,29.1,17.2,0
154,2016-6-3,22.2,27.7,17.6,0
155,2016-6-4,21.2,26.3,18.2,0
156,2016-6-5,24.7,32.2,17.3,0
157,2016-6-6,23.3,28.4,20.8,0.0
158,2016-6-7,21.7,25.9,19.6,0.1
159,2016-6-8,22.1,27.7,18.2,0
160,2016-6-9,24.1,31.3,17.8,0
161,2016-6-10,24.6,31.3,20.2,0
162,2016-6-11,23.5,26.5,20.9,3.0
163,2016-6-12,23.5,26.7,19.9,1.5
164,2016-6-13,23.5,29.6,19.4,0
165,2016-6-14,23.8,29.5,19.7,0.0
166,2016-6-15,20.9,24.5,17.4,15.5
167,2016-6-16,20.9,24.9,18.6,0.0
168,2016-6-17,23.8,29.1,18.6,0
169,2016-6-18,24.5,29.9,20.1,0
170,2016-6-19,24.1,29.3,20.3,0.0
171,2016-6-20,24.7,30.7,19.6,0
172,2016-6-21,26.0,31.3,21.0,0
173,2016-6-22,24.3,30.2,20.9,30.5
174,2016-6-23,24.7,29.4,19.6,0.1
175,2016-6-24,23.1,25.7,21.1,3.5
176,2016-6-25,22.8,26.7,19.2,0
177,2016-6-26,24.4,30.3,19.4,0
178,2016-6-27,24.4,29.5,19.9,0
179,2016-6-28,24.7,29.7,20.4,0
